Gender	Year.of.BA	Department	Year.of.Terminal	Age	B.A.to.Terminal
F	1996	CHEM	2004	33	8
M	1991	HIST	1998	38	7
F	1973	RUSS	1983	56	10
M	1983	ECON	1996	46	13
M	1992	MUS	2000	37	8
F	1979	ENVI	1981	50	2
M	1980	ARTH	1990	49	10
F	1958	ENGL	1976	71	18
M	1975	PE	1982	54	7
F	1969	ART	1969	60	0
F	1994	ECON	2006	35	12
F	1988	REL	1998	41	10
F	1996	REL	2005	33	9
F	1996	PSYC	2002	33	6
F	1996	RLFR	2002	33	6
M	1997	LING	2004	32	7
F	1991	ANTH	2005	38	14
M	1966	ARTH	1976	63	10
F	1976	PSYC	1981	53	5
M	1981	ART	1988	48	7
M	1999	CSCI	2006	30	7
F	1986	PE	1989	43	3
M	1981	PSCI	1985	48	4
F	1982	MUS	1989	47	7
F	2000	CHEM	2007	29	7
F		ARTH	1983		
F	1996	THEA	2006	33	10
F	1983	WGSS	1991	46	8
F	1972	CLAS	1976	57	4
M	2007	ART		22	
F	1989	BIO	1998	40	9
M	1963	SOC	1976	66	13
M	1984	ART	1990	45	6
M	1973	MUS	1977	56	4
F	1980	AFR	1987	49	7
F	1969	ART	1989	60	20
M	1959	ART	1970	70	11
F	1979	PSCI	1986	50	7
F	1992	ART	1995	37	3
M	1971	GEOS	1977	58	6
M	1979	MATH	1985	50	6
M	1977	PHYS	1983	52	6
M	1962	ENVI	1966	67	4
M	1999	REL	2006	30	7
F	1993	LATS	2000	36	7
M	1972	ANTH	1986	57	14
F	1989	JAPN	1999	40	10
M	1982	PE	1994	47	12
M	1964	CHEM	1970	65	6
M	1975	GEOS	1981	54	6
M	1979	SOC	1987	50	8
M	1974	PSYC	1978	55	4
M	1967	PSYC	1974	62	7
M	1970	MUS	1979	59	9
F	1988	ENGL	1996	41	8
M	1973	GERM	1979	56	6
F	1977	GERM	1977	52	0
F	1997	MUS	2007	32	10
M	1985	PSYC	1991	44	6
M	1985	HIST	1997	44	12
M	1983	ENGL	1991	46	8
M	1996	STAT	2004	33	8
F	1971	ENGL	1975	58	4
M	1972	HIST	1983	57	11
M	1972	ASST	1981	57	9
F	1981	HIST	1990	48	9
M	1993	PE	1999	36	6
F	1972	ASTR	1979	57	7
F	2000	ECON	2006	29	6
F	1978	ART	1980	51	2
M	1966	ARTH	1970	63	4
M	1966	ENVI	1971	63	5
M	1977	CSCI	1983	52	6
M	1976	ART	1980	53	4
M	2001	PE	2001	28	0
F	1999	RLFR	2006	30	7
M	1980	ARTH	1989	49	9
M	1980	PE	1985	49	5
M	1993	THEA	1998	36	5
M	1961	ART	1972	68	11
M	1974	ENGL	1981	55	7
F	1989	MATH	1994	40	5
F	1989	HIST	2003	40	14
M	1996	ECON	2003	33	7
M	1979	CHEM	1985	50	6
M	1994	ART	2001	35	7
M	2001	ECON	2007	28	6
M	1979	BIO	1983	50	4
M	1972	PSCI	1983	57	11
F	1992	CHEM	1992	37	0
M	1977	PSCI	1989	52	12
M	1982	PHYS	1989	47	7
F	1977	PE	1988	52	11
M	1971	AFR	1976	58	5
F	1999	PSCI	2006	30	7
M	1964	PSCI	1968	65	4
M	1993	RLFR	2003	36	10
M	1997	HIST	2003	32	6
F	1978	PE	1986	51	8
F	1996	ENGL	2006	33	10
F	1968	ARTH	1980	61	12
M	1986	PSCI	1999	43	13
F	1974	ART	1980	55	6
M	1987	PE	2007	42	20
F	1979	ART	1983	50	4
M	2000	CSCI	2006	29	6
F	1988	PHIL	2001	41	13
M	1994	PHIL	2007	35	13
M	1993	ENGL	2003	36	10
F	1982	PE	1985	47	3
F	1992	PSCI	2003	37	11
F	1986	HIST	1994	43	8
F	1984	PHIL	1996	45	12
F		ART			
M	1973	ECON	1978	56	5
M	1994	BIO	1999	35	5
M	1990	PE	2004	39	14
M	1974	MATH	1977	55	3
M	1996	THEA	2001	33	5
F	1999	ANTH	2008	30	9
M	2000	PSCI	2008	29	8
M	1981	ENGL	1986	48	5
M	1974	CSCI	1983	55	9
F	1989	HIST	1996	40	7
F	1996	COMP	2007	33	11
M	2000	ECON	2003	29	3
F	1976	GERM	1984	53	8
M	1962	RL	1971	67	9
M	1984	SOC	1995	45	11
M	1963	RL	1968	66	5
M	1991	CHIN	2004	38	13
M	1995	ECON	2000	34	5
F	1972	ART	1982	57	10
M	1990	ARTH	2004	39	14
F	1997	MATH	2003	32	6
M	1986	CHEM	1992	43	6
M	1975	ENGL	1975	54	0
M	1963	ASTR	1969	66	6
M	1990	PSCI	2000	39	10
M	1987	PE	1991	42	4
M	1974	CHEM	1982	55	8
F	1986	PHIL	1999	43	13
M	1986	ECON	1993	43	7
F	1989	MUS	1999	40	10
M	1980	ENGL	1987	49	7
F	1995	RL	2001	34	6
F	1998	PE	2002	31	4
F	1982	ART	1987	47	5
M	1958	CLAS	1962	71	4
F	1979	ANTH	1992	50	13
M	1975	ENGL	1984	54	9
M	1968	ENGL	1972	61	4
M	2001	MATH	2003	28	2
M	1992	ECON	1997	37	5
F	1982	BIO	1990	47	8
F	1990	HIST	2002	39	12
M	1983	HIST	1991	46	8
M	1997	ENGL	2005	32	8
M	1979	CHEM	1986	50	7
M	1972	ART	1976	57	4
F	1998	AFR	2005	31	7
M	1998	ECON	2004	31	6
F	1993	PE	1996	36	3
F	1980	BIO	1987	49	7
M	1985	ENGL	1993	44	8
F	1987	RL	1995	42	8
M	1998	PSCI	2002	31	4
F	1993	LATS	2004	36	11
F	1996	SOC	2001	33	5
M	1967	PE	1970	62	3
F	1997	JAPN	2001	32	4
M	1983	ECON	1994	46	11
M	1996	LING	2003	33	7
F	1991	PSYC	1995	38	4
M	1994	PSYC	1999	35	5
M	1993	THEA	2006	36	13
M	1962	ART	1962	67	0
M	1987	BIO	1993	42	6
F	2000	ECON	2006	29	6
M	1993	PSYC	1997	36	4
F	1974	PHIL	1983	55	9
M	1975	ECON	1979	54	4
F	1992	ECON	2002	37	10
F	1997	PHIL	2001	32	4
F	1983	PSCI	1994	46	11
M	1975	PE	1988	54	13
M	1978	ENGL	1980	51	2
F	1987	ENGL	1992	42	5
M	1977	ECON	1984	52	7
M	1991	MUS	1996	38	5
F	1996	SOC	2002	33	6
F	1991	ECON	1996	38	5
M	1994	REL	2004	35	10
M	1977	MATH	1984	52	7
F	1977	PE	1987	52	10
M	1975	ARTH	1993	54	18
F	1980	HIST	1991	49	11
F	1961	CHEM	1966	68	5
M	1968	BIO	1977	61	9
M	1974	ENGL	1980	55	6
M	1988	CHEM	1996	41	8
F	1974	ENGL	1983	55	9
M	1989	PSYC	1997	40	8
M	1970	PSYC	1975	59	5
F	1991	ART	2001	38	10
M	1973	ASTR	1979	56	6
M	1999	MATH	2005	30	6
M	1966	LEAD	1971	63	5
F	1994	GEOS	1998	35	4
M	1975	PHYS	1985	54	10
M	1994	PSYC	2004	35	10
F	2001	PE	2006	28	5
M	1983	ECON	1993	46	10
F	1975	ENGL	1983	54	8
M	1990	BIO	1994	39	4
F	1972	ART	1978	57	6
F	1994	RL	2008	35	14
M	1968	REL	1973	61	5
M	1982	CHEM	1987	47	5
F	1988	ART	2005	41	17
M	1995	ENGL	2001	34	6
M	1975	ENGL	1984	54	9
F	1986	BIO	1994	43	8
M	1963	ECON	1967	66	4
M	1995	PHYS	2001	34	6
M	1996	SOC	2005	33	9
M	1987	PE	1987	42	0
M	1992	COMP	2005	37	13
M		PE			
M	1974	HIST	1981	55	7
M	1998	CHIN	1998	31	0
F	1985	AMST	1998	44	13
M	1977	HIST	1985	52	8
F	1996	ECON	2003	33	7
M	1984	MUS	2005	45	21
M	1979	PE	1979	50	0
M		THEA			
F	1985	HIST	1994	44	9
M	1983	PE	1986	46	3
M	1992	PHYS	1999	37	7
M	1972	PHIL	1980	57	8
F	1996	CLAS	2002	33	6
M	1997	BIO	2002	32	5
F	1977	BIO	1985	52	8
M	1963	PSCI	1974	66	11
F	1999	THEA	2006	30	7
M	1962	GEOS	1966	67	4
M	1976	HIST	1992	53	16
M	1968	HIST	1973	61	5
M	1973	PHIL	1980	56	7
F	1978	JAPN	1988	51	10
F	1980	JAPN	2000	49	20
M	1996	ART	2001	33	5
F	1994	CHIN	2003	35	9
F	1989	PSYC	1996	40	7
F	1971	PSYC	1976	58	5
M	1985	ECON	1992	44	7
M	1969	BIO	1976	60	7
F	1988	RUSS	2000	41	12
M	1971	LIB	1973	58	2
M	1999	LIB	2005	30	6
F	1994	LIB	1999	35	5
F	1981	LIB	1983	48	2
F	1989	LIB	1999	40	10
F	1977	LIB	1981	52	4
F	1994	LIB	1997	35	3
F	1975	LIB	1975	54	0
M	1975	LIB	1976	54	1
F	2004	LIB	2004	25	0
F		LIB			
F		LIB			
F	1975	LIB	1990	54	15
M	1979	LIB	1988	50	9
F	1987	LIB	1991	42	4
F	1982	LIB	1982	47	0
F	1975	LIB	1995	54	20
F	1995	LIB	1999	34	4
M	1962	LIB	1963	67	1
F	1980	LIB	1987	49	7
