Gender	Year.of.BA	Department	Year.of.Terminal	Age	B.A.to.Terminal
M	1981	ART	1988	47	7
M	1999	CSCI	2006	29	7
F	1986	PE	1989	42	3
F	1993	HIST	1999	35	6
M	1981	PSCI	1985	47	4
F	1982	MUS	1989	46	7
M	1997	MATH	2003	31	6
F		ARTH	1983		
F	1983	WGSS	1991	45	8
M	1992	RUSS	2003	36	11
F	1972	CLAS	1976	56	4
F	1989	BIO	1998	39	9
M	1963	SOC	1976	65	13
M	1984	ART	1990	44	6
M	1973	MUS	1977	55	4
F	1980	AFR	1987	48	7
F	1969	ART	1989	59	20
M	1959	ART	1970	69	11
F	1979	PSCI	1986	49	7
F	1992	ART	1995	36	3
M	1971	GEOS	1977	57	6
M	1979	MATH	1985	49	6
M	1977	PHYS	1983	51	6
F	1993	THEA	2000	35	7
M	1977	ART	1977	51	0
M	1972	ANTH	1986	56	14
F	1989	JAPN	1999	39	10
M	1969	LEAD	1976	59	7
M	1982	PE	1994	46	12
M	1964	CHEM	1970	64	6
M	1975	GEOS	1981	53	6
M	1979	SOC	1987	49	8
M	1974	PSYC	1978	54	4
M	1967	PSYC	1974	61	7
M	1970	MUS	1979	58	9
F		ART			
F	1988	ENGL	1996	40	8
M	1961	ARTH	1965	67	4
F	2003	AMST	2006	25	3
M	1973	GERM	1979	55	6
F	1977	GERM	1977	51	0
M	1985	PSYC	1991	43	6
M	1985	HIST	1997	43	12
M	1983	ENGL	1991	45	8
M	1996	STAT	2004	32	8
F	1971	ENGL	1975	57	4
M	1972	HIST	1983	56	11
F	1991	THEA	2006	37	15
M	1972	ASST	1981	56	9
F	1981	HIST	1990	47	9
M	1993	PE	1999	35	6
F	1972	ASTR	1979	56	7
F	1978	ART	1980	50	2
M	1966	ENVI	1971	62	5
M	1977	CSCI	1983	51	6
M	1976	ART	1980	52	4
M	2001	PE	2001	27	0
M	1980	ARTH	1989	48	9
M	1980	PE	1985	48	5
F	2000	PSYC	2005	28	5
M	1993	THEA	1998	35	5
M	1974	ENGL	1981	54	7
F	1989	MATH	1994	39	5
F	1989	HIST	2003	39	14
M	1996	ECON	2003	32	7
M	1979	CHEM	1985	49	6
M	1994	ART	2001	34	7
M	1992	MATH	1996	36	4
M	1979	BIO	1983	49	4
M	1990	PSCI	1997	38	7
M	1972	PSCI	1983	56	11
F	1992	CHEM	1992	36	0
M	1977	PSCI	1989	51	12
M	1982	PHYS	1989	46	7
F	1987	ECON	1998	41	11
F	1989	REL	2002	39	13
F	1977	PE	1988	51	11
F	1999	PSCI	2006	29	7
M	1964	PSCI	1968	64	4
M	1993	RLFR	2003	35	10
M	1997	HIST	2003	31	6
F	1963	ARTH	1973	65	10
F	1978	PE	1986	50	8
F	1968	ARTH	1980	60	12
M	1986	PSCI	1999	42	13
F	1974	ART	1980	54	6
M	1987	PE	2007	41	20
F	1979	ART	1983	49	4
M	2000	CSCI	2006	28	6
M	1993	ENGL	2003	35	10
M	1993	ECON	1999	35	6
F	1982	PE	1985	46	3
F	1992	PSCI	2003	36	11
F	1986	HIST	1994	42	8
M	1984	ARTH	1995	44	11
M	2003	MUS	2014	25	11
F	1984	PHIL	1996	44	12
F		ART			
M	1973	ECON	1978	55	5
M	1967	MUS	1977	61	10
M	1994	BIO	1999	34	5
M	1990	PE	2004	38	14
M	1974	MATH	1977	54	3
M	1981	ENGL	1986	47	5
M	1974	CSCI	1983	54	9
F	1989	HIST	1996	39	7
M	2000	ECON	2003	28	3
F	1976	GERM	1984	52	8
M	1962	RL	1971	66	9
M	1984	SOC	1995	44	11
M	1963	RL	1968	65	5
M	1991	CHIN	2004	37	13
M	1995	ECON	2000	33	5
F	1972	ART	1982	56	10
M	1983	RL	2006	45	23
F	1997	MATH	2003	31	6
M	1986	CHEM	1992	42	6
M	1975	ENGL	1975	53	0
M	1963	ASTR	1969	65	6
M	1990	PSCI	2000	38	10
M	1968	ENGL	1977	60	9
M	1987	PE	1991	41	4
M	1974	CHEM	1982	54	8
F	1986	PHIL	1999	42	13
M	1986	ECON	1993	42	7
F	1989	MUS	1999	39	10
M	1980	ENGL	1987	48	7
M	1998	MATH	2006	30	8
F	1995	RL	2001	33	6
F	1998	PE	2002	30	4
F	1982	ART	1987	46	5
M	1958	CLAS	1962	70	4
F	1979	ANTH	1992	49	13
M	1975	ENGL	1984	53	9
M	1991	GEOS	2001	37	10
M	1968	ENGL	1972	60	4
M	1992	ECON	1997	36	5
F	1982	BIO	1990	46	8
F	1990	HIST	2002	38	12
M	1983	HIST	1991	45	8
M	1997	ENGL	2005	31	8
M	1979	CHEM	1986	49	7
M	1979	CHEM	1984	49	5
M	1972	ART	1976	56	4
F	1998	AFR	2005	30	7
M	1998	ECON	2004	30	6
F	1993	PE	1996	35	3
F	1980	BIO	1987	48	7
M	1985	ENGL	1993	43	8
F	1987	RL	1995	41	8
M	1998	PSCI	2002	30	4
F	1993	LATS	2004	35	11
M	1967	PE	1970	61	3
F	1997	JAPN	2001	31	4
M	1983	ECON	1994	45	11
F	1996	LING	2005	32	9
M	1996	LING	2003	32	7
F	1991	PSYC	1995	37	4
M	1994	PSYC	1999	34	5
M	1993	THEA	2006	35	13
M	1962	ART	1962	66	0
M	1987	BIO	1993	41	6
F	2000	ECON	2006	28	6
M	1993	PSYC	1997	35	4
F	1974	PHIL	1983	54	9
M	1975	ECON	1979	53	4
F	1992	ECON	2002	36	10
F	1983	PSCI	1994	45	11
M	1975	PE	1988	53	13
	1963	THEA		65	
M	1978	ENGL	1980	50	2
F	1987	ENGL	1992	41	5
M	1977	ECON	1984	51	7
M	1991	MUS	1996	37	5
F	1996	SOC	2002	32	6
F	1991	ECON	1996	37	5
M	1994	REL	2004	34	10
M	1977	MATH	1984	51	7
F	1977	PE	1987	51	10
M	1975	ARTH	1993	53	18
F	1961	CHEM	1966	67	5
M	1992	PSCI	2004	36	12
M	1968	BIO	1977	60	9
M	1974	ENGL	1980	54	6
M	1988	CHEM	1996	40	8
F	1974	ENGL	1983	54	9
M	1989	PSYC	1997	39	8
M	1970	PSYC	1975	58	5
F	1991	ART	2001	37	10
F	1987	ART	1997	41	10
M	1973	ASTR	1979	55	6
M	1963	COMP	1968	65	5
M	2000	MUS	2006	28	6
M	1999	MATH	2005	29	6
F	1994	GEOS	1998	34	4
M	1975	PHYS	1985	53	10
M	1994	PSYC	2004	34	10
M	1983	ECON	1993	45	10
M	1981	PSCI	1996	47	15
F	1975	ENGL	1983	53	8
M	1990	BIO	1994	38	4
F	1972	ART	1978	56	6
M	1993	MATH	1999	35	6
M	1968	REL	1973	60	5
M	1992	CSCI	2000	36	8
M	1982	CHEM	1987	46	5
M	1992	PSCI	2004	36	12
F	1988	ART	1993	40	5
M	1995	ENGL	2001	33	6
M	1975	ENGL	1984	53	9
F	1986	BIO	1994	42	8
M	1971	ENGL	1977	57	6
M	1995	PHYS	2001	33	6
M	1996	SOC	2005	32	9
M	1987	PE	1987	41	0
M	1992	COMP	2005	36	13
M	1998	PE	1998	30	0
F	1996	HIST	2008	32	12
M	1974	HIST	1981	54	7
M	1998	CHIN	1998	30	0
F	1985	AMST	1998	43	13
M	1977	HIST	1985	51	8
F	1996	ECON	2003	32	7
M	1984	MUS	2005	44	21
M	1979	PE	1979	49	0
F	1985	HIST	1994	43	9
M	1983	PE	1986	45	3
M	1992	PHYS	1999	36	7
M	1972	PHIL	1980	56	8
M	1974	PE	2004	54	30
M	1994	PHIL	2002	34	8
F	1996	CLAS	2002	32	6
M	1997	BIO	2002	31	5
F	1977	BIO	1985	51	8
M	1963	PSCI	1974	65	11
F	1999	THEA	2006	29	7
M	1962	GEOS	1966	66	4
M	1976	HIST	1992	52	16
M	1968	HIST	1973	60	5
M	1973	PHIL	1980	55	7
F	1978	JAPN	1988	50	10
F	1980	JAPN	2000	48	20
F	1994	CHIN	2003	34	9
F	1989	PSYC	1996	39	7
F	1971	PSYC	1976	57	5
M	1985	ECON	1992	43	7
M	1969	BIO	1976	59	7
F	1988	RUSS	2000	40	12
M	1971	LIB	1973	57	2
M	1999	LIB	2005	29	6
F	1994	LIB	1999	34	5
F	1981	LIB	1983	47	2
F	1989	LIB	1999	39	10
M	1979	LIB	1999	49	20
F	1977	LIB	1981	51	4
F	1994	LIB	1997	34	3
F	1975	LIB	1975	53	0
M	1975	LIB	1976	53	1
F		LIB			
F		LIB			
F	1975	LIB	1990	53	15
M	1979	LIB	1988	49	9
M	1978	LIB	2002	50	24
F	1987	LIB	1991	41	4
F	1982	LIB	1982	46	0
F	1975	LIB	1995	53	20
F	1995	LIB	1999	33	4
M	1962	LIB	1963	66	1
F	1980	LIB	1987	48	7
