Gender	Year.of.BA	Department	Year.of.Terminal	Age	B.A.to.Terminal
M	1992	MUS	2000	34	8
M	1978	PSYC	1987	48	9
F	1958	ENGL	1976	68	18
F	1996	PE	2003	30	7
M	1975	PE	1982	51	7
F	1984	PSCI	2003	42	19
F	1969	ART	1969	57	0
F	1988	REL	1998	38	10
M	1966	ARTH	1976	60	10
F	1976	PSYC	1981	50	5
M	1981	ART	1988	45	7
F	1986	PE	1989	40	3
F	1993	HIST	1999	33	6
F	1976	ECON	1985	50	9
M	1961	MATH	1966	65	5
M	1981	PSCI	1985	45	4
F	1982	MUS	1989	44	7
F		ARTH	1983		
F	1983	WGSS	1991	43	8
F	1972	CLAS	1976	54	4
F	1991	ART	1998	35	7
F	1989	BIO	1998	37	9
M	1963	SOC	1976	63	13
M	1984	ART	1990	42	6
M	1973	MUS	1977	53	4
F	1969	ART	1989	57	20
M	1959	ART	1970	67	11
F	1979	PSCI	1986	47	7
M	1971	PE	1971	55	0
F	1992	ART	1995	34	3
M	1971	GEOS	1977	55	6
M	1979	MATH	1985	47	6
M	1977	PHYS	1983	49	6
F	1993	THEA	2000	33	7
M	1972	ANTH	1986	54	14
F	1989	JAPN	1999	37	10
M	1996	THEA	2004	30	8
M	1982	PE	1994	44	12
M	1964	CHEM	1970	62	6
M	1975	GEOS	1981	51	6
M	1974	PSYC	1978	52	4
M	1967	PSYC	1974	59	7
M	1970	MUS	1979	56	9
F	1988	ENGL	1996	38	8
M	1995	ECON	2001	31	6
M	1973	GERM	1979	53	6
F	1977	GERM	1977	49	0
M	1985	PSYC	1991	41	6
M	1985	HIST	1997	41	12
M	1983	ENGL	1991	43	8
M	1996	STAT	2004	30	8
F	1971	ENGL	1975	55	4
M	1972	HIST	1983	54	11
M	1993	ECON	2003	33	10
M	1985	CLAS	1995	41	10
M	1972	ASST	1981	54	9
F	1981	HIST	1990	45	9
M	1993	PE	1999	33	6
F	1972	ASTR	1979	54	7
F	1978	ART	1980	48	2
M	1977	HIST	1980	49	3
M	1966	ENVI	1971	60	5
M	1990	PSCI	2002	36	12
M	1974	ARTH	1988	52	14
M	1977	CSCI	1983	49	6
F	1981	CSCI	1989	45	8
M	1976	ART	1980	50	4
F	1982	REL	1993	44	11
M	2001	PE	2001	25	0
M	1980	ARTH	1989	46	9
M	1980	PE	1985	46	5
M	1993	THEA	1998	33	5
M	1974	ENGL	1981	52	7
F	1989	MATH	1994	37	5
F	1989	HIST	2003	37	14
M	1996	ECON	2003	30	7
M	1979	CHEM	1985	47	6
M	1994	ART	2001	32	7
M	1979	BIO	1983	47	4
M	1990	PSCI	1997	36	7
M	1972	PSCI	1983	54	11
F	1992	CHEM	1992	34	0
M	1977	PSCI	1989	49	12
M	1982	PHYS	1989	44	7
F	1987	ECON	1998	39	11
F	1977	PE	1988	49	11
M	1987	ENVI	1992	39	5
M	1964	PSCI	1968	62	4
M	1993	RLFR	2003	33	10
M	1997	HIST	2003	29	6
F	1978	PE	1986	48	8
F	1968	ARTH	1980	58	12
M	1986	PSCI	1999	40	13
F	1974	ART	1980	52	6
M	1987	PE	2007	39	20
F	1979	ART	1983	47	4
M	1953	REL	1965	73	12
F	1982	PE	1985	44	3
F	1992	PSCI	2003	34	11
F	1986	HIST	1994	40	8
M	1996	MUS	2004	30	8
F	1984	PHIL	1996	42	12
M	1973	ECON	1978	53	5
M	1967	MUS	1977	59	10
M	1990	PE	2004	36	14
M	1994	BIO	1999	32	5
M	1974	MATH	1977	52	3
F	1971	AFR	1988	55	17
M	1990	PHIL	1999	36	9
F	1995	AFR	1998	31	3
M	1981	ENGL	1986	45	5
M	1974	CSCI	1983	52	9
F	1989	HIST	1996	37	7
F	1996	CLAS	2005	30	9
F	1976	GERM	1984	50	8
M	1962	RL	1971	64	9
M	1984	SOC	1995	42	11
M	1963	RL	1968	63	5
F	1963	PSCI	1968	63	5
M	1991	CHIN	2004	35	13
M	1995	ECON	2000	31	5
F	1972	ART	1982	54	10
F	1997	MATH	2003	29	6
F	1989	CLAS	1998	37	9
M	1986	CHEM	1992	40	6
M	1963	ASTR	1969	63	6
M	1990	PSCI	2000	36	10
M	1987	PE	1991	39	4
M	1974	CHEM	1982	52	8
F	1986	PHIL	1999	40	13
M	1986	ECON	1993	40	7
F	1989	MUS	1999	37	10
F	1976	THEA	1978	50	2
M	1980	ENGL	1987	46	7
F	1995	RL	2001	31	6
F	1998	PE	2002	28	4
F	1982	ART	1987	44	5
M	1958	CLAS	1962	68	4
M	1971	ECON	1975	55	4
M	1975	ENGL	1984	51	9
M	1968	ENGL	1972	58	4
M	1992	ECON	1997	34	5
F	1982	BIO	1990	44	8
F	1984	HIST	1998	42	14
M	1983	HIST	1991	43	8
M	1979	CHEM	1984	47	5
M	1998	ECON	2004	28	6
F	1993	PE	1996	33	3
F	1980	BIO	1987	46	7
M	1985	ENGL	1993	41	8
F	1988	ENGL	1995	38	7
F	1987	RL	1995	39	8
F	1993	LATS	2004	33	11
M	1967	PE	1970	59	3
M	1983	ECON	1994	43	11
M	1996	LING	2003	30	7
F	1991	PSYC	1995	35	4
M	1994	PSYC	1999	32	5
M	1962	ART	1962	64	0
M	1987	BIO	1993	39	6
M	1993	PSYC	1997	33	4
F	1974	PHIL	1983	52	9
M	1975	ECON	1979	51	4
F	1992	ECON	2002	34	10
M	1985	CHEM	1991	41	6
M	1992	PSYC	2004	34	12
F	1983	PSCI	1994	43	11
F	1991	PSYC	2002	35	11
M	1975	PE	1988	51	13
M	1978	ENGL	1980	48	2
F	1987	ENGL	1992	39	5
M	1977	ECON	1984	49	7
M	1991	MUS	1996	35	5
F	1991	ECON	1996	35	5
M	1994	REL	2004	32	10
M	1977	MATH	1984	49	7
M	1975	ARTH	1993	51	18
F	1980	HIST	1991	46	11
F	1961	CHEM	1966	65	5
F	1998	REL	2004	28	6
M	1968	BIO	1977	58	9
M	1974	ENGL	1980	52	6
M	1988	CHEM	1996	38	8
F	1974	ENGL	1983	52	9
M	1989	PSYC	1997	37	8
M	1970	PSYC	1975	56	5
F	1991	ART	2001	35	10
M	1973	ASTR	1979	53	6
M	1963	COMP	1968	63	5
M	1990	SOC	2001	36	11
M	1993	MATH	2002	33	9
F	1994	GEOS	1998	32	4
M	1975	PHYS	1985	51	10
M	1976	MATH	1982	50	6
M	1983	ECON	1993	43	10
F	1975	ENGL	1983	51	8
M	1990	BIO	1994	36	4
F	1972	ART	1978	54	6
M	1993	MATH	1999	33	6
M	1968	REL	1973	58	5
M	1992	CSCI	2000	34	8
M	1982	CHEM	1987	44	5
M	1995	ENGL	2001	31	6
M	1975	ENGL	1984	51	9
F	1986	BIO	1994	40	8
M	1995	PHYS	2001	31	6
F	1989	HIST	2002	37	13
M	1987	PE	1987	39	0
M	1992	COMP	2005	34	13
M	1985	PSYC	1990	41	5
M	1974	HIST	1981	52	7
M	1956	PHYS	1964	70	8
M	1977	HIST	1985	49	8
F	1996	ECON	2003	30	7
M	1984	MUS	2005	42	21
M	2004	PHYS		22	
M	1979	PE	1979	47	0
F	1985	HIST	1994	41	9
M	1983	PE	1986	43	3
M	1992	PHYS	1999	34	7
M	1972	PHIL	1980	54	8
M	1974	PE	2004	52	30
M	1994	PHIL	2002	32	8
F	1977	BIO	1985	49	8
M	1963	PSCI	1974	63	11
M	1950	ECON	1964	76	14
M	1962	GEOS	1966	64	4
M	1976	HIST	1992	50	16
M	1968	HIST	1973	58	5
M	1973	PHIL	1980	53	7
F	1990	CSCI	2004	36	14
F	1957	REL	1970	69	13
F	1978	JAPN	1988	48	10
F	1980	JAPN	2000	46	20
F	1989	PSYC	1996	37	7
F	1971	PSYC	1976	55	5
M	1985	ECON	1992	41	7
M	1969	BIO	1976	57	7
F	1988	RUSS	2000	38	12
M	1971	LIB	1973	55	2
F	1977	LIB	1981	49	4
F	1987	LIB	1991	39	4
M	1979	LIB	1988	47	9
F	1980	LIB	1987	46	7
F	1979	LIB	1999	47	20
F	1975	LIB	1995	51	20
F	1975	LIB	1990	51	15
F	1994	LIB	1999	32	5
F	1989	LIB	1999	37	10
M	1996	LIB	2003	30	7
F	1994	LIB	1997	32	3
F	1995	LIB	1999	31	4
F		LIB			
F		LIB			
F		LIB			
F	1982	LIB	1982	44	0
M	1962	LIB	1963	64	1
M	1975	LIB	1976	51	1
F	1981	LIB	1983	46	2
