Gender	Year.of.BA	Department	Year.of.Terminal	Age	B.A.to.Terminal
M	1973	ECON	1978	60	5
M	1994	BIO	1999	39	5
M	1990	PE	2004	43	14
M	1974	MATH	1977	59	3
M	1996	THEA	2001	37	5
M	2000	PSCI	2008	33	8
M	1981	ENGL	1986	52	5
M	1974	CSCI	1983	59	9
F	1989	HIST	1996	44	7
F	1996	COMP	2007	37	11
M	2000	ECON	2003	33	3
F	1976	GERM	1984	57	8
M	1962	RL	1971	71	9
M	1984	SOC	1995	49	11
M	1963	RL	1968	70	5
F	2002	PSCI	2010	31	8
M	1991	CHIN	2004	42	13
F	1972	ART	1982	61	10
M	1994	MUS	2010	39	16
M	2002	ECON	2010	31	8
F	1994	SOC	2008	39	14
F	1997	MATH	2003	36	6
M	1986	CHEM	1992	47	6
M	1975	ENGL	1975	58	0
F	1986	HIST	1986	47	0
M	1963	ASTR	1969	70	6
M	1990	PSCI	2000	43	10
M	1974	CHEM	1982	59	8
F	1982	MATH	1985	51	3
F	1986	PHIL	1999	47	13
M	1986	ECON	1993	47	7
F	1989	MUS	1999	44	10
F	2003	PSYC	2011	30	8
M	1980	ENGL	1987	53	7
F	1995	RL	2001	38	6
M	1971	LIB	1973	62	2
F	1998	PE	2002	35	4
M	1994	RLSP	2003	39	9
F	1982	ART	1987	51	5
M	2003	MUS	2011	30	8
M	1975	ENGL	1984	58	9
M	1968	ENGL	1972	65	4
M	1992	ECON	1997	41	5
F	1982	BIO	1990	51	8
M	1975	ENGL	1981	58	6
F	1990	HIST	2002	43	12
M	1983	HIST	1991	50	8
M	1997	ENGL	2005	36	8
M	1979	CHEM	1986	54	7
M	1996	MUS	1999	37	3
M	1998	AFR	2007	35	9
M		MUS			
M	1998	ECON	2004	35	6
F	1993	PE	1996	40	3
F		HIST			
F	1980	BIO	1987	53	7
M	1985	ENGL	1993	48	8
F	1987	RL	1995	46	8
F	1993	LATS	2004	40	11
F	1996	SOC	2001	37	5
M	1967	PE	1970	66	3
M	1983	ECON	1994	50	11
F	1991	PSYC	1995	42	4
M	1994	PSYC	1999	39	5
M	1993	THEA	2006	40	13
M	1962	ART	1962	71	0
M	1987	BIO	1993	46	6
F	2000	ECON	2006	33	6
M	1993	PSYC	1997	40	4
F	1974	PHIL	1983	59	9
M	1996	ENGL	2008	37	12
F	1992	ECON	2002	41	10
M	2001	PHYS	2008	32	7
F	1983	PSCI	1994	50	11
M	1978	ENGL	1980	55	2
F	1987	ENGL	1992	46	5
M	1977	ECON	1984	56	7
M	1991	MUS	1996	42	5
F	1996	SOC	2002	37	6
F	1991	ECON	1996	42	5
M	1994	REL	2004	39	10
M	1977	MATH	1984	56	7
F	1977	PE	1987	56	10
M	1975	ARTH	1993	58	18
F	1980	HIST	1991	53	11
M	1997	PE	1997	36	0
M	1968	BIO	1977	65	9
M	1974	ENGL	1980	59	6
M	1988	CHEM	1996	45	8
M	1996	BIO	2003	37	7
F	1974	ENGL	1983	59	9
M	1989	PSYC	1997	44	8
M	1970	PSYC	1975	63	5
F	1991	ART	2001	42	10
F	1987	ART	1997	46	10
M	1973	ASTR	1979	60	6
M	2000	HIST	2009	33	9
M	1999	MATH	2005	34	6
M	1975	PHYS	1985	58	10
M	1998	PHYS	2004	35	6
F	2002	PSYC	2009	31	7
F	2003	WGSS	2006	30	3
F	2001	PE	2006	32	5
M	1983	ECON	1993	50	10
F	1975	ENGL	1983	58	8
F	1987	LEAD	1987	46	0
M	1990	BIO	1994	43	4
F	1972	ART	1978	61	6
M	1982	CHEM	1987	51	5
M	1995	ENGL	2001	38	6
M	1975	ENGL	1984	58	9
F	1986	BIO	1994	47	8
M	1963	ECON	1967	70	4
M	1995	PHYS	2001	38	6
M	1996	ENGL	2008	37	12
M	1996	SOC	2005	37	9
F	2000	DANC	2008	33	8
M	1992	COMP	2005	41	13
F	1997	AMST	2006	36	9
M	1974	HIST	1981	59	7
F	1985	AMST	1998	48	13
M	1977	HIST	1985	56	8
F	1996	ECON	2003	37	7
M	1984	MUS	2005	49	21
M	1979	PE	1979	54	0
F	1985	HIST	1994	48	9
M	1972	PHIL	1980	61	8
M		ENVI			
F	1996	CLAS	2002	37	6
F	1977	BIO	1985	56	8
M	1963	PSCI	1974	70	11
M	1999	ECON	2008	34	9
M	1962	GEOS	1966	71	4
M	1976	HIST	1992	57	16
M	1968	HIST	1973	65	5
M	1973	PHIL	1980	60	7
F	2002	JAPN	2007	31	5
F	1978	JAPN	1988	55	10
F	1980	JAPN	2000	53	20
F	1994	CHIN	2003	39	9
F	1989	PSYC	1996	44	7
F	1971	PSYC	1976	62	5
M	1985	ECON	1992	48	7
M	1969	BIO	1976	64	7
F	1988	RUSS	2000	45	12
