Gender	Year.of.BA	Department	Year.of.Terminal	Age	B.A.to.Terminal
M	1975	ARTH	1993	52	18
M	1993	PE	1993	34	0
F	1980	HIST	1991	47	11
F	1961	CHEM	1966	66	5
M	1968	BIO	1977	59	9
M	1974	ENGL	1980	53	6
M	1988	CHEM	1996	39	8
F	1974	ENGL	1983	53	9
M	1989	PSYC	1997	38	8
M	1970	PSYC	1975	57	5
F	1991	ART	2001	36	10
M	1973	ASTR	1979	54	6
M	1963	COMP	1968	64	5
M	1990	SOC	2001	37	11
M	1993	MATH	2002	34	9
M	1999	MATH	2005	28	6
F	1994	GEOS	1998	33	4
M	1975	PHYS	1985	52	10
M	1994	PSYC	2004	33	10
M	1983	ECON	1993	44	10
M	1981	PSCI	1996	46	15
F	1975	ENGL	1983	52	8
M	1990	BIO	1994	37	4
F	1972	ART	1978	55	6
M	1993	MATH	1999	34	6
M	1968	REL	1973	59	5
M	1992	CSCI	2000	35	8
M	1982	CHEM	1987	45	5
M	1992	PSCI	2004	35	12
M	1995	ENGL	2001	32	6
M	1975	ENGL	1984	52	9
F	1986	BIO	1994	41	8
M	1995	PHYS	2001	32	6
M	1996	SOC	2005	31	9
M	1987	PE	1987	40	0
M	1992	COMP	2005	35	13
M	1974	HIST	1981	53	7
M	1977	HIST	1985	50	8
F	1996	ECON	2003	31	7
M	1984	MUS	2005	43	21
M	2004	PHYS		23	
M	1979	PE	1979	48	0
F	1985	HIST	1994	42	9
M	1983	PE	1986	44	3
M	1992	PHYS	1999	35	7
M	1972	PHIL	1980	55	8
M	1974	PE	2004	53	30
M	1994	PHIL	2002	33	8
M	1997	BIO	2002	30	5
F	1977	BIO	1985	50	8
M	1963	PSCI	1974	64	11
M	1950	ECON	1964	77	14
M	1962	GEOS	1966	65	4
M	1976	HIST	1992	51	16
M	1968	HIST	1973	59	5
M	1973	PHIL	1980	54	7
F	1990	CSCI	2004	37	14
F	1978	JAPN	1988	49	10
F	1980	JAPN	2000	47	20
F	1994	CHIN	2003	33	9
F	1989	PSYC	1996	38	7
F	1971	PSYC	1976	56	5
M	1985	ECON	1992	42	7
M	1969	BIO	1976	58	7
F	1988	RUSS	2000	39	12
M	1971	LIB	1973	56	2
F	1977	LIB	1981	50	4
F	1987	LIB	1991	40	4
M	1979	LIB	1988	48	9
F	1980	LIB	1987	47	7
F	1979	LIB	1999	48	20
F	1975	LIB	1995	52	20
F	1975	LIB	1990	52	15
F	1994	LIB	1999	33	5
F	1989	LIB	1999	38	10
F	1994	LIB	1997	33	3
F	1995	LIB	1999	32	4
F		LIB			
F		LIB			
F	1977	LIB	1981	50	4
F	1982	LIB	1982	45	0
M	1962	LIB	1963	65	1
M	1975	LIB	1976	52	1
F	1981	LIB	1983	46	2
F	2002	LIB	2004	25	2
M	1975	LIB	1975	52	0
M	1978	LIB	2002	49	24
