Gender	Year.of.BA	Department	Year.of.Terminal	Age	B.A.to.Terminal
M	1986	PSYC	1991	44	5
M	1971	MUS	1971	59	0
F	1964	ART	1973	66	9
M	1970	PE	1974	60	4
F	1994	HIST	2007	36	13
M	1974	ENGL	1980	56	6
F	1987	ANTH	1996	43	9
M	1981	PHYS	1981	49	0
M	1976	ECON	1982	54	6
F	1990	RL	2001	40	11
F	1995	RLSP	2001	35	6
M	1995	CSCI	2000	35	5
M	1959	REL	1967	71	8
F	1994	HIST	2003	36	9
F	1985	ENVI	2000	45	15
M	1981	MATH	1986	49	5
M	1990	ECON	2004	40	14
F	1994	CHEM	1998	36	4
M	1986	ECON	1991	44	5
M	1978	PHIL	1987	52	9
F	1997	GEOS	2004	33	7
M	1978	PSCI	2004	52	26
M	1976	ART	1977	54	1
F	1992	RLSP	2003	38	11
M	1966	PSYC	1970	64	4
M	1989	CHEM	1996	41	7
F	1996	CHEM	2004	34	8
M	1991	HIST	1998	39	7
M	1973	ARTH	1982	57	9
F	1973	RUSS	1983	57	10
M	1983	ECON	1996	47	13
M	1992	MUS	2000	38	8
M	2003	RL	2007	27	4
F	1979	ENVI	1981	51	2
M	2002	AFR	2007	28	5
M	1980	ARTH	1990	50	10
F	1958	ENGL	1976	72	18
M	1985	PSYC	2003	45	18
M	1975	PE	1982	55	7
F	1969	ART	1969	61	0
F	1988	REL	1998	42	10
F	1996	REL	2005	34	9
F	1996	PSYC	2002	34	6
M	1961	ECON	1967	69	6
M	1997	LING	2004	33	7
F	1991	ANTH	2005	39	14
M	1966	ARTH	1976	64	10
F	1976	PSYC	1981	54	5
M	1981	ART	1988	49	7
M	1999	CSCI	2006	31	7
F	1986	PE	1989	44	3
F	2000	LATS	2010	30	10
F	2001	GERM	2004	29	3
M	1981	PSCI	1985	49	4
F	1982	MUS	1989	48	7
F		ARTH	1983		
F	1996	THEA	2006	34	10
F	1983	WGSS	1991	47	8
F	1972	CLAS	1976	58	4
M	1965	LEAD	1971	65	6
F	1989	BIO	1998	41	9
M	1963	SOC	1976	67	13
M	1992	ART	1996	38	4
M	1984	ART	1990	46	6
M	1973	MUS	1977	57	4
F	1980	AFR	1987	50	7
F	1969	ART	1989	61	20
M	1959	ART	1970	71	11
F	1979	PSCI	1986	51	7
F	1992	ART	1995	38	3
M	1971	GEOS	1977	59	6
M	1979	MATH	1985	51	6
F	1999	ENVI	2006	31	7
M	1977	PHYS	1983	53	6
F		ART			
M	1999	REL	2006	31	7
F	1993	LATS	2000	37	7
F	1989	ART		41	
M	1972	ANTH	1986	58	14
F	1989	JAPN	1999	41	10
M	1982	PE	1994	48	12
M	1964	CHEM	1970	66	6
M	1975	GEOS	1981	55	6
M	1974	PSYC	1978	56	4
M	1967	PSYC	1974	63	7
M	1970	MUS	1979	60	9
F	1988	ENGL	1996	42	8
F	1993	ARAB	2004	37	11
M	1973	GERM	1979	57	6
F	1977	GERM	1977	53	0
M	1985	PSYC	1991	45	6
M	1971	PSCI	1995	59	24
M	1985	HIST	1997	45	12
M	1983	ENGL	1991	47	8
M	1996	STAT	2004	34	8
F	1971	ENGL	1975	59	4
M	1972	HIST	1983	58	11
M	1996	ECON	2008	34	12
M	1972	ASST	1981	58	9
M	1993	PE	1999	37	6
M	1982	ECON	1989	48	7
F	1972	ASTR	1979	58	7
F	2000	ECON	2006	30	6
F	1978	ART	1980	52	2
F	2001	ART	2005	29	4
M	1979	MUS	1979	51	0
M	1977	CSCI	1983	53	6
M	1976	ART	1980	54	4
F	2002	BIO	2007	28	5
M	2001	PE	2001	29	0
M		PE			
M	1980	ARTH	1989	50	9
M	1980	PE	1985	50	5
M		ART			
M	1974	ENGL	1981	56	7
F	1989	MATH	1994	41	5
F	1989	HIST	2003	41	14
M	1996	MATH	2005	34	9
M	1992	PHYS	2001	38	9
M	1996	ECON	2003	34	7
M	2000	CLAS	2008	30	8
M	1979	CHEM	1985	51	6
M	1994	ART	2001	36	7
M	1979	BIO	1983	51	4
M	1989	ENVI	2000	41	11
M	1972	PSCI	1983	58	11
M	1998	PSCI	2007	32	9
F	1992	CHEM	1992	38	0
M	1977	PSCI	1989	53	12
M	1982	PHYS	1989	48	7
M	1988	PE	1990	42	2
F	1979	ARTH	2006	51	27
F	1977	PE	1988	53	11
F	1999	PSCI	2006	31	7
M	1964	PSCI	1968	66	4
M	1993	RLFR	2003	37	10
M	1997	HIST	2003	33	6
F	1978	PE	1986	52	8
F	1968	ARTH	1980	62	12
M	1986	PSCI	1999	44	13
F	1974	ART	1980	56	6
M	1987	PE	2007	43	20
F	1979	ART	1983	51	4
M	2000	CSCI	2006	30	6
M	1994	PHIL	2007	36	13
M	1993	ENGL	2003	37	10
F	1982	PE	1985	48	3
F	1992	PSCI	2003	38	11
F	1986	HIST	1994	44	8
M	1996	MATH	2002	34	6
F		ENVI			
F	1984	PHIL	1996	46	12
M	1973	ECON	1978	57	5
M	1994	BIO	1999	36	5
M	1990	PE	2004	40	14
M	1974	MATH	1977	56	3
M	1996	THEA	2001	34	5
M		ENGL			
M	2000	PSCI	2008	30	8
M	1981	ENGL	1986	49	5
M	1974	CSCI	1983	56	9
F	1989	HIST	1996	41	7
F	1996	COMP	2007	34	11
M	2000	ECON	2003	30	3
F	1976	GERM	1984	54	8
M	1962	RL	1971	68	9
M	1984	SOC	1995	46	11
M	1963	RL	1968	67	5
M	1991	CHIN	2004	39	13
F	1972	ART	1982	58	10
F	1997	MATH	2003	33	6
M	1986	CHEM	1992	44	6
M	1975	ENGL	1975	55	0
M	1963	ASTR	1969	67	6
M	1990	PSCI	2000	40	10
M	1974	CHEM	1982	56	8
F	1982	MATH	1985	48	3
F	1986	PHIL	1999	44	13
M	1986	ECON	1993	44	7
F	1989	MUS	1999	41	10
F	1996	RLSP	2008	34	12
M	1980	ENGL	1987	50	7
F	1995	RL	2001	35	6
F	1998	PE	2002	32	4
F	1982	ART	1987	48	5
M	1975	ENGL	1984	55	9
M	1968	ENGL	1972	62	4
M	1992	ECON	1997	38	5
F	1982	BIO	1990	48	8
F	1990	HIST	2002	40	12
M	1983	HIST	1991	47	8
M	1959	HIST	1966	71	7
M	1997	HIST	2006	33	9
M	1997	ENGL	2005	33	8
M	1979	CHEM	1986	51	7
M	1998	AFR	2007	32	9
F	1998	AFR	2005	32	7
M	1998	ECON	2004	32	6
F	1993	PE	1996	37	3
F	1980	BIO	1987	50	7
M	1985	ENGL	1993	45	8
F	1987	RL	1995	43	8
F	1993	LATS	2004	37	11
F	2003	ENGL	2006	27	3
M	1967	PE	1970	63	3
M	1983	ECON	1994	47	11
M	1996	LING	2003	34	7
F	1991	PSYC	1995	39	4
M	1994	PSYC	1999	36	5
M	1993	THEA	2006	37	13
M	1962	ART	1962	68	0
M	1987	BIO	1993	43	6
F	2000	ECON	2006	30	6
M	1993	PSYC	1997	37	4
F	1974	PHIL	1983	56	9
M	1975	ECON	1979	55	4
M	1996	ENGL	2008	34	12
F	1992	ECON	2002	38	10
F	1983	PSCI	1994	47	11
M	1975	PE	1988	55	13
M	1978	ENGL	1980	52	2
F	1987	ENGL	1992	43	5
M	1977	ECON	1984	53	7
M	1991	MUS	1996	39	5
F	1996	SOC	2002	34	6
F	1991	ECON	1996	39	5
F	2000	MUS	2004	30	4
M	1994	REL	2004	36	10
M	1977	MATH	1984	53	7
F	1977	PE	1987	53	10
M	1975	ARTH	1993	55	18
F	1980	HIST	1991	50	11
F	1961	CHEM	1966	69	5
M	1968	BIO	1977	62	9
M	1974	ENGL	1980	56	6
M	1988	CHEM	1996	42	8
M	2001	COMP	2003	29	2
F	1974	ENGL	1983	56	9
M	1970	PSYC	1975	60	5
F	1991	ART	2001	39	10
M	1973	ASTR	1979	57	6
M	1999	MATH	2005	31	6
M	1966	LEAD	1971	64	5
M	1975	PHYS	1985	55	10
M	1998	PHYS	2004	32	6
F	1999	CHEM	1999	31	0
M	2002	CHIN	2002	28	0
F	2001	PE	2006	29	5
M	1983	ECON	1993	47	10
F	1975	ENGL	1983	55	8
F	1987	LEAD	1987	43	0
M	1990	BIO	1994	40	4
M		ART			
F	1972	ART	1978	58	6
M	1968	REL	1973	62	5
M	1979	ENVI	1981	51	2
M	1982	CHEM	1987	48	5
M	1995	ENGL	2001	35	6
M	1975	ENGL	1984	55	9
F	1986	BIO	1994	44	8
M	1995	PHYS	2001	35	6
M	1996	ENGL	2008	34	12
M	1996	SOC	2005	34	9
M	1987	PE	1987	43	0
M	1992	COMP	2005	38	13
M	2000	AMST		30	
M		PE			
M	1974	HIST	1981	56	7
M	2007	AFR	2007	23	0
M	1963	ARTH	1973	67	10
M	1998	CHIN	1998	32	0
F	1985	AMST	1998	45	13
M	1977	HIST	1985	53	8
F	1996	ECON	2003	34	7
M	1984	MUS	2005	46	21
M	1979	PE	1979	51	0
F	1985	HIST	1994	45	9
M	1983	PE	1986	47	3
M	1972	PHIL	1980	58	8
F	1996	CLAS	2002	34	6
F	1977	BIO	1985	53	8
M	1963	PSCI	1974	67	11
M	1999	ECON	2008	31	9
M	1962	GEOS	1966	68	4
M	1976	HIST	1992	54	16
M	1968	HIST	1973	62	5
M	1973	PHIL	1980	57	7
F	1978	JAPN	1988	52	10
F	1980	JAPN	2000	50	20
F	1994	CHIN	2003	36	9
F	1989	PSYC	1996	41	7
M	1999	ART	1999	31	0
F	2001	CHIN	2001	29	0
F	1971	PSYC	1976	59	5
M	1985	ECON	1992	45	7
M	1969	BIO	1976	61	7
F	1988	RUSS	2000	42	12
M	1971	LIB	1973	59	2
M	1999	LIB	2005	31	6
F	1994	LIB	1999	36	5
F	1981	LIB	1983	49	2
F	1989	LIB	1999	41	10
F	1977	LIB	1981	53	4
M	2005	LIB	2005	25	0
M	1984	LIB	1988	46	4
F	1994	LIB	1997	36	3
F	1975	LIB	1975	55	0
M	1975	LIB	1976	55	1
F		LIB			
F	1975	LIB	1990	55	15
M	1979	LIB	1988	51	9
F	1987	LIB	1991	43	4
F	1982	LIB	1982	48	0
F	1975	LIB	1995	55	20
F	1995	LIB	1999	35	4
M	1962	LIB	1963	68	1
F	1980	LIB	1987	50	7
