Gender	Year.of.BA	Department	Year.of.Terminal	Age	B.A.to.Terminal
F	1990	RL	2001	44	11
F	1995	RLSP	2001	39	6
M	1995	CSCI	2000	39	5
F	1994	HIST	2003	40	9
F	2004	MUS	2005	30	1
F	1985	ENVI	2000	49	15
M	1981	MATH	1986	53	5
F	1994	CHEM	1998	40	4
M	1986	ECON	1991	48	5
M	1978	PHIL	1987	56	9
F	1997	GEOS	2004	37	7
F	2007	PE	2009	27	2
M	1976	ART	1977	58	1
M	2000	STAT	2000	34	0
M	1989	CHEM	1996	45	7
F	1996	CHEM	2004	38	8
M	1973	ART	1982	61	9
F	1973	RUSS	1983	61	10
M	1983	ECON	1996	51	13
M	1992	MUS	2000	42	8
M	1980	ARTH	1990	54	10
M	2003	PSCI	2003	31	0
M	2008	PE	2013	26	5
M	1975	PE	1982	59	7
F	1969	ART	1969	65	0
F	1988	REL	1998	46	10
F	1996	REL	2005	38	9
F	1996	PSYC	2002	38	6
M	1989	PE	1989	45	0
M	1961	ECON	1967	73	6
M	2003	MUS	2012	31	9
F	1987	PSYC	1995	47	8
M	1966	ARTH	1976	68	10
F	1976	PSYC	1981	58	5
M	1981	ART	1988	53	7
M	1999	CSCI	2006	35	7
F	2002	ARTH	2008	32	6
M	1967	ECON	1972	67	5
F	1986	PE	1989	48	3
F	2000	LATS	2010	34	10
M	1981	PSCI	1985	53	4
F	1982	MUS	1989	52	7
F	2007	PSYC	2009	27	2
F	1996	THEA	2006	38	10
F	1983	WGSS	1991	51	8
F	1972	CLAS	1976	62	4
F	1997	ART	2012	37	15
M	1998	ENVI	2009	36	11
M	1963	SOC	1976	71	13
F	1999	ECON	2010	35	11
M	1973	MUS	1977	61	4
F	1980	AFR	1987	54	7
F	1969	ART	1989	65	20
M	1959	ART	1970	75	11
F	1979	PSCI	1986	55	7
F	1992	ART	1995	42	3
M	1979	MATH	1985	55	6
M	1977	PHYS	1983	57	6
M	1999	REL	2006	35	7
M	1972	ANTH	1986	62	14
F	1989	JAPN	1999	45	10
M	1969	LEAD	1976	65	7
M	1982	PE	1994	52	12
M	1964	CHEM	1970	70	6
M	1975	GEOS	1981	59	6
M	1974	PSYC	1978	60	4
M	1967	PSYC	1974	67	7
M	1970	MUS	1979	64	9
F	2000	PE	2012	34	12
M	1991	PE	1991	43	0
F	1988	ENGL	1996	46	8
M	1973	GERM	1979	61	6
F	1977	GERM	1977	57	0
M	2001	PSCI	2011	33	10
M	1985	HIST	1998	49	13
M	1985	PSYC	1991	49	6
M	1985	HIST	1997	49	12
M	1983	ENGL	1991	51	8
M	1996	STAT	2004	38	8
M	2002	RUSS	2011	32	9
M	2004	HIST	2009	30	5
F	1971	ENGL	1975	63	4
F	1998	ENVI	2006	36	8
M	1972	HIST	1983	62	11
M	1996	PSYC	2005	38	9
M	1972	ASST	1981	62	9
M	1993	PE	1999	41	6
M	1982	ECON	1989	52	7
F	1972	ASTR	1979	62	7
F	2000	ECON	2006	34	6
F	1978	ART	1980	56	2
M	1995	BIO	2002	39	7
M	1999	ECON	2012	35	13
M	1977	CSCI	1983	57	6
M	1976	ART	1980	58	4
M	2001	PE	2001	33	0
M	1980	ARTH	1989	54	9
M	1980	PE	1985	54	5
M	1998	CHIN	2013	36	15
M	1961	ART	1972	73	11
M	1974	ENGL	1981	60	7
M	2000	PE	2001	34	1
F	1989	MATH	1994	45	5
F	1989	HIST	2003	45	14
M	1992	PHYS	2001	42	9
M	1996	ECON	2003	38	7
F	1987	DANC	1992	47	5
M	2000	CLAS	2011	34	11
M	1979	CHEM	1985	55	6
M	1994	ART	2001	40	7
M	1979	BIO	1983	55	4
M	1972	PSCI	1983	62	11
F	1992	CHEM	1992	42	0
M	1977	PSCI	1989	57	12
M	1982	PHYS	1989	52	7
M	1988	PE	1990	46	2
F	2001	PE	2001	33	0
F	2004	SOC	2008	30	4
M	1995	AFR	2002	39	7
F	1999	AFR	2007	35	8
F	1977	PE	1988	57	11
M	1964	PSCI	1968	70	4
F	1999	BIO	2008	35	9
M	1993	RLFR	2003	41	10
F	1984	NSCI	1995	50	11
F	1978	PE	1986	56	8
M	1986	PSCI	1999	48	13
M	1987	PE	2007	47	20
F	1979	ART	1983	55	4
M	2000	CSCI	2006	34	6
M	1994	PHIL	2007	40	13
M	1993	ENGL	2003	41	10
F	1982	PE	1985	52	3
F	1992	PSCI	2003	42	11
F	1986	HIST	1994	48	8
F	1998	PE	2008	36	10
F	2008	MUS		26	
M	1996	MATH	2002	38	6
M	2000	WGSS	2012	34	12
M	2003	MATH	2010	31	7
F	1984	PHIL	1996	50	12
M	1973	ECON	1978	61	5
M	1994	BIO	1999	40	5
F	1997	ART	2007	37	10
M	1974	MATH	1977	60	3
M	1996	THEA	2001	38	5
F	1999	JAPN	2012	35	13
M	2000	PSCI	2008	34	8
M	2004	MUS	2008	30	4
M	1981	ENGL	1986	53	5
M	1974	CSCI	1983	60	9
F	1989	HIST	1996	45	7
F	1996	COMP	2007	38	11
M	2000	ECON	2003	34	3
F	1987	ARTH	1997	47	10
F	1976	GERM	1984	58	8
M	1962	RL	1971	72	9
F	2004	REL	2009	30	5
F	2002	PSCI	2010	32	8
M	1984	SOC	1995	50	11
M	1991	CHIN	2004	43	13
F	1972	ART	1982	62	10
M	2002	ECON	2010	32	8
F	1997	MATH	2003	37	6
M	1986	CHEM	1992	48	6
M	1975	ENGL	1975	59	0
F		DANC			0
F	1986	HIST	1986	48	0
M	1963	ASTR	1969	71	6
M	1990	PSCI	2000	44	10
M	1974	CHEM	1982	60	8
F	1982	MATH	1985	52	3
F	1986	PHIL	1999	48	13
M	1986	ECON	1993	48	7
F	1989	MUS	1999	45	10
M	1980	ENGL	1987	54	7
F	1995	RL	2001	39	6
M	1971	LIB	1973	63	2
F	1998	PE	2002	36	4
M	1994	RLSP	2003	40	9
F	1982	ART	1987	52	5
M	2002	ART	2008	32	6
M	2003	MUS	2011	31	8
M	1975	ENGL	1984	59	9
M	1968	ENGL	1972	66	4
M	1992	ECON	1997	42	5
M		ARTH			0
F	1982	BIO	1990	52	8
F	1990	HIST	2002	44	12
M	1983	HIST	1991	51	8
M	1997	ENGL	2005	37	8
M	1979	CHEM	1986	55	7
M	1998	AFR	2007	36	9
M	1998	ECON	2004	36	6
F	1980	BIO	1987	54	7
M	1985	ENGL	1993	49	8
F	1987	RL	1995	47	8
F	1993	LATS	2004	41	11
M	2001	CLAS	2008	33	7
F	1996	SOC	2001	38	5
M	1967	PE	1970	67	3
F	1988	ARTH	1994	46	6
M	1983	ECON	1994	51	11
F	1991	PSYC	1995	43	4
M	1994	PSYC	1999	40	5
M	1993	THEA	2006	41	13
M	1987	BIO	1993	47	6
F	2000	ECON	2006	34	6
M	1993	PSYC	1997	41	4
F	1974	PHIL	1983	60	9
M	1996	ENGL	2008	38	12
F	1992	ECON	2002	42	10
F	1999	ANTH	2010	35	11
F	1994	THEA	1994	40	0
M	2004	PHIL	2011	30	7
F	1983	PSCI	1994	51	11
M	1976	MUS	1976	58	0
M	1978	ENGL	1980	56	2
F	1987	ENGL	1992	47	5
M	1977	ECON	1984	57	7
M	1991	MUS	1996	43	5
F	1996	SOC	2002	38	6
F	1991	ECON	1996	43	5
M	1994	REL	2004	40	10
M	1977	MATH	1984	57	7
F	1977	PE	1987	57	10
M	1975	ARTH	1993	59	18
F	1980	HIST	1991	54	11
F	1997	HIST	2003	37	6
M	1997	PE	1997	37	0
F	2005	PSCI	2011	29	6
M	1968	BIO	1977	66	9
M	1974	ENGL	1980	60	6
M	1988	CHEM	1996	46	8
F	1974	ENGL	1983	60	9
M	1970	PSYC	1975	64	5
F	1991	ART	2001	43	10
M	1973	ASTR	1979	61	6
M	2005	MATH	2011	29	6
M	2000	HIST	2009	34	9
M	1999	MATH	2005	35	6
M	1975	PHYS	1985	59	10
M	1998	PHYS	2004	36	6
F	1999	CHEM	1999	35	0
F	2002	PSYC	2009	32	7
F	2003	WGSS	2006	31	3
F	2001	PE	2006	33	5
M	1983	ECON	1993	51	10
F	1975	ENGL	1983	59	8
F	1987	LEAD	1987	47	0
M	1990	BIO	1994	44	4
F	1972	ART	1978	62	6
M	1982	CHEM	1987	52	5
M	2005	ART	2005	29	0
M	1995	ENGL	2001	39	6
M	1975	ENGL	1984	59	9
F	1986	BIO	1994	48	8
M	1963	ECON	1967	71	4
M	1995	PHYS	2001	39	6
M	1996	ENGL	2008	38	12
M	1992	COMP	2005	42	13
M	1974	HIST	1981	60	7
F	1985	AMST	1998	49	13
F	2010	STAT	2012	24	2
M	1977	HIST	1985	57	8
F	1996	ECON	2003	38	7
M	1984	MUS	2005	50	21
M	1979	PE	1979	55	0
F	1985	HIST	1994	49	9
M	1972	PHIL	1980	62	8
F	1996	CLAS	2002	38	6
F	1977	BIO	1985	57	8
F	1985	THEA	2003	49	18
M	1999	ECON	2008	35	9
M	1962	GEOS	1966	72	4
M	1976	HIST	1992	58	16
M	1968	HIST	1973	66	5
M	1973	PHIL	1980	61	7
F	2002	JAPN	2007	32	5
F	1980	JAPN	2000	54	20
F	1994	CHIN	2003	40	9
F	1989	PSYC	1996	45	7
F	1971	PSYC	1976	63	5
M	1985	ECON	1992	49	7
M	1969	BIO	1976	65	7
F	1988	RUSS	2000	46	12
